idx,op_id,op_name,dst,src1,src2,used_len
0,0,INIT_CUR,0,0,0,9
1,4,EVAL_CUR,0,0,0,9
2,5,ACCEPT_IF_BETTER,0,0,0,9
3,2,MUTATE_BEST_TO_CUR,3,2,0,9
4,4,EVAL_CUR,3,3,0,9
5,6,ACCEPT_SA,0,0,0,9
6,11,TEMP_DECAY,3,3,0,9
7,12,NOP,1,2,2,9
8,0,INIT_CUR,0,1,0,9
