outer_iter,mode,seed,sa_steps,max_prog_len,local_best_iter,local_avalanche,local_balance,local_period,local_chisq,local_composite,best_avalanche,best_balance,best_period,best_chisq,best_composite,best_len,best_hash,accepted,evaluated,elapsed_ms
0,no_carry,0x1924FDB4D01DD1B0,1000,24,788,13.500000,32.429688,4096,272.250000,-141.820938,13.500000,32.429688,4096,272.250000,-141.820938,9,0x40F37108EE401E7B,226,1002,202
1,no_carry,0x1924FDB4D01DD1B0,1000,24,952,17.625000,31.832031,4096,269.625000,-98.736094,17.625000,31.832031,4096,269.625000,-98.736094,8,0x101CF1691841BD8E,422,2003,450
2,no_carry,0x1924FDB4D01DD1B0,1000,24,930,31.859375,32.113281,4096,234.875000,43.527344,31.859375,32.113281,4096,234.875000,43.527344,9,0xCA0F4AC06522991C,649,3004,724
3,no_carry,0x1924FDB4D01DD1B0,1000,24,978,21.359375,32.167969,4096,260.375000,-59.799844,31.859375,32.113281,4096,234.875000,43.527344,9,0xCA0F4AC06522991C,1054,4005,874
4,no_carry,0x1924FDB4D01DD1B0,1000,24,907,19.468750,31.652344,4096,245.250000,-80.050781,31.859375,32.113281,4096,234.875000,43.527344,9,0xCA0F4AC06522991C,1337,5006,1112
5,no_carry,0x1924FDB4D01DD1B0,1000,24,489,28.859375,32.031250,4096,249.250000,14.437500,31.859375,32.113281,4096,234.875000,43.527344,9,0xCA0F4AC06522991C,1560,6007,1367
6,no_carry,0x1924FDB4D01DD1B0,1000,24,691,27.437500,32.472656,4096,267.625000,-3.614531,31.859375,32.113281,4096,234.875000,43.527344,9,0xCA0F4AC06522991C,1826,7008,1623
7,no_carry,0x1924FDB4D01DD1B0,1000,24,815,30.843750,31.960938,4096,232.125000,32.242188,31.859375,32.113281,4096,234.875000,43.527344,9,0xCA0F4AC06522991C,2037,8009,1843
8,no_carry,0x1924FDB4D01DD1B0,1000,24,641,32.015625,32.023438,4096,239.375000,44.226563,32.015625,32.023438,4096,239.375000,44.226563,11,0x7021AAD877A106BB,2270,9010,2182
9,no_carry,0x1924FDB4D01DD1B0,1000,24,0,32.015625,32.023438,4096,239.375000,43.726563,32.015625,32.023438,4096,239.375000,44.226563,11,0x7021AAD877A106BB,2486,10011,2476
