sample,anchor_mean,holdout_mean,best_holdout
0,47.628369,30.905659,30.905659
1,47.580078,30.905659,30.905659
2,47.601904,30.905659,30.905659
3,47.593960,30.905659,30.905659
4,47.716260,30.905659,30.905659
5,47.716260,30.905659,30.905659
6,47.580078,30.905659,30.905659
7,47.512383,30.905659,30.905659
8,47.580078,30.905659,30.905659
9,47.628369,30.905659,30.905659
10,47.512383,30.905659,30.905659
11,47.512383,30.905659,30.905659
