idx,kind,i,j,size
0,1,1,0,16
1,0,3,6,16
2,0,1,4,16
3,0,2,3,16
4,0,5,7,16
5,0,1,6,16
6,0,0,4,16
7,0,5,7,16
8,0,2,7,16
9,0,0,6,16
10,0,0,7,16
11,0,2,4,16
12,0,3,5,16
13,0,5,7,16
14,0,1,6,16
15,0,1,3,16
