idx,kind,i,j,size
0,0,2,3,23
1,0,0,2,23
2,0,1,4,23
3,0,5,7,23
4,0,5,6,23
5,0,4,7,23
6,0,1,4,23
7,0,0,7,23
8,0,0,1,23
9,0,2,6,23
10,0,0,5,23
11,0,1,3,23
12,0,3,5,23
13,0,2,4,23
14,0,1,2,23
15,0,2,3,23
16,0,4,5,23
17,0,6,7,23
18,0,5,6,23
19,0,4,5,23
20,0,6,7,23
21,0,1,2,23
22,0,3,4,23
