idx,kind,i,j,size
0,0,0,5,16
1,0,1,2,16
2,0,6,7,16
3,0,2,7,16
4,0,3,4,16
5,0,4,5,16
6,0,3,6,16
7,0,2,5,16
8,0,3,7,16
9,0,0,6,16
10,0,1,4,16
11,1,0,0,16
12,0,1,7,16
13,0,3,6,16
14,0,2,4,16
15,0,0,5,16
