gen,attempt,train_anchor_mean,holdout_mean,best_so_far,verdict,accepted,mm_evals,chain_extras_len
0,1,45.390293,-2774.224663,-inf,STRICT_PROGRESS,2,192,0
0,0,45.390293,-2774.224663,-inf,ADVANCE + STRICT_PROGRESS,2,192,0
1,1,47.726470,-4067.198672,-2774.224663,NO_PROGRESS,1,188,1
1,2,47.396802,-2774.224663,-2774.224663,NO_PROGRESS,1,204,1
1,3,47.548921,-2774.224663,-2774.224663,NO_PROGRESS,1,192,1
