idx,op_id,op_name,dst,src1,src2,imm_hex,used_len
0,13,MUM,0,0,3,0xBEDD46C1146AF2C8,4
1,4,SHL_XOR,5,3,7,0x6EA5B7BCE1DE7476,4
2,11,ROTR,2,3,0,0x2DAF582B92E8F7AF,4
3,13,MUM,7,0,0,0x55D468D90AD91246,4
