outer_iter,mode,seed,sa_steps,max_prog_len,local_best_iter,local_avalanche,local_balance,local_period,local_chisq,local_composite,best_avalanche,best_balance,best_period,best_chisq,best_composite,best_len,best_hash,accepted,evaluated,elapsed_ms
26,no_carry,0x1924FDB4D01DD1B0,10000,24,6408,32.031250,31.996094,4096,266.750000,44.550469,32.000000,31.980469,4096,221.500000,45.402344,9,0xAC41F9201E8BB707,59405,270028,82250
27,no_carry,0x1924FDB4D01DD1B0,10000,24,5067,32.000000,31.906250,4096,269.625000,43.385000,32.000000,31.980469,4096,221.500000,45.402344,9,0xAC41F9201E8BB707,61271,280029,85463
28,no_carry,0x1924FDB4D01DD1B0,10000,24,7998,31.875000,32.023438,4096,253.125000,44.132813,32.000000,31.980469,4096,221.500000,45.402344,9,0xAC41F9201E8BB707,63504,290030,88190
29,no_carry,0x1924FDB4D01DD1B0,10000,24,4518,31.937500,32.054688,4096,206.500000,43.601563,32.000000,31.980469,4096,221.500000,45.402344,9,0xAC41F9201E8BB707,65562,300031,91262
30,no_carry,0x1924FDB4D01DD1B0,10000,24,7595,32.000000,32.085938,4096,246.500000,41.570313,32.000000,31.980469,4096,221.500000,45.402344,9,0xAC41F9201E8BB707,67324,310032,95411
31,no_carry,0x1924FDB4D01DD1B0,10000,24,5479,31.968750,32.007813,4096,230.125000,45.648438,31.968750,32.007813,4096,230.125000,45.648438,8,0x38D30802CE9B2D64,69766,320033,98042
32,no_carry,0x1924FDB4D01DD1B0,10000,24,4979,32.109375,32.042969,4096,270.000000,43.041406,31.968750,32.007813,4096,230.125000,45.648438,8,0x38D30802CE9B2D64,71982,330034,101226
33,no_carry,0x1924FDB4D01DD1B0,10000,24,6516,32.046875,31.914063,4096,230.625000,43.101563,31.968750,32.007813,4096,230.125000,45.648438,8,0x38D30802CE9B2D64,74033,340035,104598
34,no_carry,0x1924FDB4D01DD1B0,10000,24,9096,32.046875,31.863281,4096,213.625000,43.347656,31.968750,32.007813,4096,230.125000,45.648438,8,0x38D30802CE9B2D64,75994,350036,107635
35,no_carry,0x1924FDB4D01DD1B0,10000,24,4687,32.031250,31.925781,4096,261.750000,44.748906,31.968750,32.007813,4096,230.125000,45.648438,8,0x38D30802CE9B2D64,78264,360037,110464
36,no_carry,0x1924FDB4D01DD1B0,10000,24,7387,32.000000,31.980469,4096,255.750000,43.894844,31.968750,32.007813,4096,230.125000,45.648438,8,0x38D30802CE9B2D64,80307,370038,113889
37,no_carry,0x1924FDB4D01DD1B0,10000,24,9263,31.937500,31.992188,4096,260.250000,44.783438,31.968750,32.007813,4096,230.125000,45.648438,8,0x38D30802CE9B2D64,82652,380039,116666
38,no_carry,0x1924FDB4D01DD1B0,10000,24,9732,32.062500,32.035156,4096,217.375000,43.699219,31.968750,32.007813,4096,230.125000,45.648438,8,0x38D30802CE9B2D64,84835,390040,119884
39,no_carry,0x1924FDB4D01DD1B0,10000,24,0,31.968750,32.007813,4096,230.125000,45.148438,31.968750,32.007813,4096,230.125000,45.648438,8,0x38D30802CE9B2D64,87051,400041,122638
40,no_carry,0x1924FDB4D01DD1B0,10000,24,7343,31.906250,31.929688,4096,248.125000,44.210938,31.968750,32.007813,4096,230.125000,45.648438,8,0x38D30802CE9B2D64,89321,410042,125219
41,no_carry,0x1924FDB4D01DD1B0,10000,24,1428,32.109375,31.976563,4096,242.750000,43.289063,31.968750,32.007813,4096,230.125000,45.648438,8,0x38D30802CE9B2D64,91633,420043,127836
42,no_carry,0x1924FDB4D01DD1B0,10000,24,7900,32.093750,32.000000,4096,271.000000,44.902500,31.968750,32.007813,4096,230.125000,45.648438,8,0x38D30802CE9B2D64,94028,430044,130618
