idx,op_id,op_name,dst,src1,src2
0,0,INIT_MM_CUR,0,0,0
1,4,EVAL_MM_CUR,0,0,0
2,5,ACCEPT_MM_IF_BETTER,0,0,0
3,6,ACCEPT_MM_SA,1,1,0
4,4,EVAL_MM_CUR,2,3,3
5,0,INIT_MM_CUR,2,1,2
