sample,anchor_mean,holdout_mean,best_holdout
0,47.739380,30.905659,30.905659
1,47.713745,35.722585,35.722585
2,47.739380,30.905659,35.722585
3,47.696567,30.905659,35.722585
4,47.674404,30.905659,35.722585
5,47.644146,30.905659,35.722585
6,47.762036,30.905659,35.722585
7,47.650269,30.905659,35.722585
8,47.683838,30.905659,35.722585
9,47.716260,30.905659,35.722585
10,47.695405,30.905659,35.722585
11,47.719419,30.905659,35.722585
12,47.687500,35.722585,35.722585
13,47.627075,30.905659,35.722585
14,47.747925,30.905659,35.722585
15,47.655132,30.905659,35.722585
